1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A3,A4,A3,A5,A6,A4,A7,A4,A7,A4,A7,A3,A4,A8,A4,A3,A4,A3,A1,A4,A3,A1,A1
2,A9,A9,A1,A1,A1,A1,A1,A10,A10,A3,A10,A10,A3,,,,,,,,,,,,,,,,,,,,
3,A8,A1,A4,A3,A7,A7,A4,A7,A4,A8,A4,A7,A7,A3,A11,A4,A11,A3,A4,A4,A1,A8,A4,A3,A1,A1,,,,,,,
4,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A1,A1,A12,A3,A11,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A12,A12,A3,A1,A13,A5,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,
10,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A1,A10,A3,A1,A1,A3,A11,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
12,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A9,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A8,A4,A4,A3,A4,A3,A4,A11,A3,A4,A3,A1,,,,,,,,,,,,,,,,,,,,,
19,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A1,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A1,A3,A1,A3,A10,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
26,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A1,A3,A1,A3,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
40,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A1,A3,A10,A3,A11,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A1,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A10,A10,A3,A6,A5,A13,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
45,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A1,A3,A10,A3,A2,A3,A14,A3,A15,A3,A11,A3,A1,A13,A1,,,,,,,,,,,,,,,,,,
52,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A1,A3,A1,A3,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
54,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A1,A3,A12,A3,A7,A3,A1,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
61,A3,A14,A3,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,A13,A13,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
